TradeID,Trade_Time,AccountID,Trader,Stock_Name,Stock_Ticker,Side,Quantity,Price
T00001,2026-01-06 9:32,acc0003,TRD3,Constellation Energy,CEG,BUY,970,135.35
T00002,2026-01-06 9:34,acc0008,TRD8,Palantir,PLTR,BUY,27209,18.05
T00003,2026-01-06 9:34,acc0012,TRD2,Royal Bank of Canada,RY,BUY,229,130.15
T00004,2026-01-06 9:35,acc0015,TRD1,Canadian Imperial Bank of Commerce,CM,BUY,3322,65.36
T00005,2026-01-06 9:35,acc0015,TRD1,Canadian Imperial Bank of Commerce,CM,BUY,4319,65.39
T00006,2026-01-06 9:36,acc0014,TRD2,Plug Power,PLUG,BUY,175564,3.04
T00007,2026-01-06 9:36,acc0005,TRD5,Meta Platforms,META,BUY,245,361.31
T00008,2026-01-06 9:36,acc0001,TRD1,SPDR S&P 500 ETF Trust,SPY,BUY,811,477.02
T00009,2026-01-06 9:37,acc0002,TRD2,Canadian Natural Resources,CNQ,BUY,2719,80.24
T00010,2026-01-06 9:37,acc0014,TRD2,Kraft Heinz,KHC,BUY,4223,34.85
T00011,2026-01-06 9:37,acc0012,TRD1,Royal Bank of Canada,RY,BUY,644,130.79
T00012,2026-01-06 9:37,acc0012,TRD2,Royal Bank of Canada,RY,BUY,2389,130.63
T00013,2026-01-06 9:38,acc0008,TRD7,Palantir,PLTR,BUY,2133,18.13
T00014,2026-01-06 9:38,acc0018,TRD1,Exxon Mobil,XOM,BUY,1151,111.16
T00015,2026-01-06 9:39,acc0018,TRD2,SPDR Gold Shares,GLD,BUY,129,186.02
T00016,2026-01-06 9:39,acc0002,TRD2,Toronto-Dominion Bank,TD,BUY,2116,85.05
T00017,2026-01-06 9:39,acc0013,TRD3,BCE,BCE,BUY,2894,56.27
T00018,2026-01-06 9:39,acc0018,TRD2,SPDR Gold Shares,GLD,BUY,240,185.87
T00019,2026-01-06 9:40,acc0013,TRD3,Brookfield Asset Management,BAM,BUY,16691,45.17
T00020,2026-01-06 9:40,acc0012,TRD2,Royal Bank of Canada,RY,BUY,261,130.63
T00021,2026-01-06 9:40,acc0004,TRD4,JPMorgan Chase,JPM,BUY,743,179.92
T00022,2026-01-06 9:40,acc0017,TRD1,Bank of Montreal,BMO,BUY,6909,121.3
T00023,2026-01-06 9:40,acc0011,TRD1,Microsoft,MSFT,BUY,315,419.25
T00024,2026-01-06 9:41,acc0012,TRD1,Costco,COST,BUY,199,659.09
T00025,2026-01-06 9:41,acc0011,TRD1,Bank of Nova Scotia,BNS,BUY,1722,65.36
T00026,2026-01-06 9:41,acc0010,TRD6,Barrick Gold,GOLD,BUY,67550,17.07
T00027,2026-01-06 9:41,acc0018,TRD1,SPDR Gold Shares,GLD,BUY,955,185.98
T00028,2026-01-06 9:41,acc0012,TRD1,Amazon,AMZN,BUY,1005,170.1
T00029,2026-01-06 9:42,acc0013,TRD3,Brookfield Asset Management,BAM,BUY,1897,44.9
T00030,2026-01-06 9:42,acc0017,TRD1,Google,GOOG,BUY,890,151.66
T00031,2026-01-06 9:42,acc0013,TRD3,Brookfield Asset Management,BAM,BUY,1329,44.9
T00032,2026-01-06 9:42,acc0012,TRD1,Amazon,AMZN,BUY,570,170.11
T00033,2026-01-06 9:43,acc0005,TRD5,Tesla,TSLA,BUY,157,232.29
T00034,2026-01-06 9:43,acc0002,TRD2,iShares Core S&P/TSX Capped Composite Index ETF,XIC,BUY,4538,30.09
T00035,2026-01-06 9:43,acc0014,TRD2,Kraft Heinz,KHC,BUY,1958,34.95
T00036,2026-01-06 9:43,acc0011,TRD1,Microsoft,MSFT,BUY,476,420.72
T00037,2026-01-06 9:43,acc0011,TRD1,Microsoft,MSFT,BUY,504,420.71
T00038,2026-01-06 9:43,acc0017,TRD1,Bank of Montreal,BMO,BUY,7031,120.68
T00039,2026-01-06 9:44,acc0016,TRD1,Invesco QQQ Trust,QQQ,BUY,525,415.52
T00040,2026-01-06 9:44,acc0012,TRD1,Amazon,AMZN,BUY,832,170.13
T00041,2026-01-06 9:44,acc0007,TRD7,Enbridge,ENB,BUY,551,48.38
