StockName,Stock Ticker,Tier,Position_MV_Limit
Apple,AAPL,4,7150000
Air Canada,AC,2,3300000
Advanced Micro Devices,AMD,2,3300000
Amazon,AMZN,4,7150000
Brookfield Asset Management,BAM,2,3300000
BlackBerry,BB,1,1980000
BCE,BCE,3,5500000
Bank of Montreal,BMO,4,7150000
Bank of Nova Scotia,BNS,4,7150000
B2Gold,BTO,2,3300000
Constellation Energy,CEG,3,5500000
Canopy Growth,CGC,1,1980000
Canadian Imperial Bank of Commerce,CM,4,7150000
Canadian Natural Resources,CNQ,3,5500000
Canadian National Railway,CNR,3,5500000
Costco,COST,3,5500000
Canadian Pacific Kansas City,CP,3,5500000
Enbridge,ENB,3,5500000
Ford Motor,FORD,2,3300000
SPDR Gold Shares,GLD,4,7150000
Barrick Gold,GOLD,2,3300000
Google,GOOG,4,7150000
Home Depot,HD,3,5500000
JPMorgan Chase,JPM,3,5500000
Kraft Heinz,KHC,3,5500000
Meta Platforms,META,2,3300000
Microsoft,MSFT,4,7150000
Nano Dimension,NNDM,1,1980000
NVIDIA,NVDA,4,7150000
Olema Pharmaceuticals,OLMA,1,1980000
Palantir,PLTR,2,3300000
Plug Power,PLUG,1,1980000
Invesco QQQ Trust,QQQ,4,7150000
Royal Bank of Canada,RY,4,7150000
Shopify,SHOP,3,5500000
SPDR S&P 500 ETF Trust,SPY,4,7150000
Suncor Energy,SU,3,5500000
TELUS,T,3,5500000
Toronto-Dominion Bank,TD,4,7150000
Tilray Brands,TLRY,1,1980000
TC Energy,TRP,2,3300000
Tesla,TSLA,2,3300000
Warner Bros. Discovery,WBD,3,5500000
iShares Core S&P/TSX Capped Composite Index ETF,XIC,4,7150000
iShares S&P/TSX 60 Index ETF,XIU,4,7150000
Exxon Mobil,XOM,3,5500000
